Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
brochure,Chrome 71.0.3578.98,,2019-01-24 15:07:14,2019-01-24 15:08:00,46.552s,FAILED
,,,,,,
Test Cases/spolight/logging in/login,Chrome 71.0.3578.98,,2019-01-24 15:07:14,2019-01-24 15:07:20,6.622s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-24 15:07:14,2019-01-24 15:07:17,2.967s,PASSED
"navigateToUrl(""https://spotlightsuite.com/auth/login"")",Chrome 71.0.3578.98,,2019-01-24 15:07:17,2019-01-24 15:07:18,1.155s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-24 15:07:18,2019-01-24 15:07:19,1.142s,PASSED
waitForPageLoad(0),Chrome 71.0.3578.98,,2019-01-24 15:07:19,2019-01-24 15:07:19,0.055s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""))",Chrome 71.0.3578.98,,2019-01-24 15:07:19,2019-01-24 15:07:19,0.114s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""), findTestData(""login spotlight"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-24 15:07:19,2019-01-24 15:07:20,0.640s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""))",Chrome 71.0.3578.98,,2019-01-24 15:07:20,2019-01-24 15:07:20,0.082s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""), findTestData(""login spotlight"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-24 15:07:20,2019-01-24 15:07:20,0.151s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Forgot my password_Butto""))",Chrome 71.0.3578.98,,2019-01-24 15:07:20,2019-01-24 15:07:20,0.081s,PASSED
,,,,,,
Test Cases/spolight/service choice/zlcc stage,Chrome 71.0.3578.98,,2019-01-24 15:07:20,2019-01-24 15:07:22,1.964s,PASSED
"click(findTestObject(""Page_SpotLight  Login/button_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:07:21,2019-01-24 15:07:21,0.631s,PASSED
