Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
video,Chrome 71.0.3578.98,,2019-01-24 15:00:03,2019-01-24 15:00:20,16.690s,FAILED
,,,,,,
Test Cases/spolight/logging in/login,Chrome 71.0.3578.98,,2019-01-24 15:00:04,2019-01-24 15:00:10,6.620s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-24 15:00:04,2019-01-24 15:00:07,2.936s,PASSED
"navigateToUrl(""https://spotlightsuite.com/auth/login"")",Chrome 71.0.3578.98,,2019-01-24 15:00:07,2019-01-24 15:00:08,1.146s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-24 15:00:08,2019-01-24 15:00:09,1.144s,PASSED
waitForPageLoad(0),Chrome 71.0.3578.98,,2019-01-24 15:00:09,2019-01-24 15:00:09,0.048s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""))",Chrome 71.0.3578.98,,2019-01-24 15:00:09,2019-01-24 15:00:09,0.100s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""), findTestData(""login spotlight"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-24 15:00:09,2019-01-24 15:00:10,0.662s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""))",Chrome 71.0.3578.98,,2019-01-24 15:00:10,2019-01-24 15:00:10,0.080s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""), findTestData(""login spotlight"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-24 15:00:10,2019-01-24 15:00:10,0.192s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Forgot my password_Butto""))",Chrome 71.0.3578.98,,2019-01-24 15:00:10,2019-01-24 15:00:10,0.092s,PASSED
,,,,,,
Test Cases/spolight/service choice/zlcc stage,Chrome 71.0.3578.98,,2019-01-24 15:00:10,2019-01-24 15:00:12,1.981s,PASSED
"click(findTestObject(""Page_SpotLight  Login/button_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:00:10,2019-01-24 15:00:11,0.631s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:00:11,2019-01-24 15:00:12,1.033s,PASSED
"click(findTestObject(""Services/li_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:00:12,2019-01-24 15:00:12,0.109s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_ZLCC Stage_Button__Super""))",Chrome 71.0.3578.98,,2019-01-24 15:00:12,2019-01-24 15:00:12,0.094s,PASSED
,,,,,,
Test Cases/spolight/Select Your Application/Bespoke - Video,Chrome 71.0.3578.98,,2019-01-24 15:00:12,2019-01-24 15:00:16,3.498s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - bespoke video/a""))",Chrome 71.0.3578.98,,2019-01-24 15:00:12,2019-01-24 15:00:15,2.224s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:00:15,2019-01-24 15:00:16,1.004s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - bespoke video/button_Open Application""))",Chrome 71.0.3578.98,,2019-01-24 15:00:16,2019-01-24 15:00:16,0.144s,PASSED
,,,,,,
Test Cases/spolight/cars/Urus,Chrome 71.0.3578.98,,2019-01-24 15:00:16,2019-01-24 15:00:16,0.258s,PASSED
"click(findTestObject(""Page_SpotLight  Select Car/div_Urus""))",Chrome 71.0.3578.98,,2019-01-24 15:00:16,2019-01-24 15:00:16,0.150s,PASSED
,,,,,,
Test Cases/spolight/Bespoke Video Panels/Single Render/render,Chrome 71.0.3578.98,,2019-01-24 15:00:16,2019-01-24 15:00:19,2.820s,FAILED
"waitForElementClickable(findTestObject(""Bespoke Video/Single Render/Page_SpotLight  Bespoke Video/a_Single Render""), 0)",Chrome 71.0.3578.98,,2019-01-24 15:00:16,2019-01-24 15:00:16,0.080s,PASSED
"click(findTestObject(""Bespoke Video/Single Render/Page_SpotLight  Bespoke Video/a_Single Render""))",Chrome 71.0.3578.98,,2019-01-24 15:00:16,2019-01-24 15:00:16,0.063s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-24 15:00:16,2019-01-24 15:00:18,2.003s,PASSED
"click(findTestObject(""Bespoke_Brochure/add to cart/Page_SpotLight  Bespoke BROCHURE/div_Page18_SliderContent__Slid""))",Chrome 71.0.3578.98,,2019-01-24 15:00:18,2019-01-24 15:00:19,0.530s,FAILED
,,,,,,
Test Cases/spolight/Bespoke Video Panels/view content/content,Chrome 71.0.3578.98,,2019-01-24 15:00:19,2019-01-24 15:00:19,0.694s,FAILED
"waitForElementClickable(findTestObject(""manageSettings/Page_SpotLight  Shutter/li_Bespoke VideoSingle Render0""), 0)",Chrome 71.0.3578.98,,2019-01-24 15:00:19,2019-01-24 15:00:19,0.042s,PASSED
"click(findTestObject(""manageSettings/Page_SpotLight  Shutter/li_Bespoke VideoSingle Render0""))",Chrome 71.0.3578.98,,2019-01-24 15:00:19,2019-01-24 15:00:19,0.425s,FAILED
