Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
shutter-pack,Chrome 71.0.3578.98,,2019-01-24 15:47:46,2019-01-24 15:49:11,1m - 24.781s,FAILED
,,,,,,
Test Cases/spolight/logging in/login,Chrome 71.0.3578.98,,2019-01-24 15:47:46,2019-01-24 15:47:53,6.389s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-24 15:47:46,2019-01-24 15:47:49,2.944s,PASSED
"navigateToUrl(""https://spotlightsuite.com/auth/login"")",Chrome 71.0.3578.98,,2019-01-24 15:47:49,2019-01-24 15:47:50,0.997s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-24 15:47:50,2019-01-24 15:47:51,1.147s,PASSED
waitForPageLoad(0),Chrome 71.0.3578.98,,2019-01-24 15:47:51,2019-01-24 15:47:51,0.047s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""))",Chrome 71.0.3578.98,,2019-01-24 15:47:51,2019-01-24 15:47:52,0.101s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""), findTestData(""login spotlight"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-24 15:47:52,2019-01-24 15:47:52,0.662s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""))",Chrome 71.0.3578.98,,2019-01-24 15:47:52,2019-01-24 15:47:52,0.066s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""), findTestData(""login spotlight"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-24 15:47:52,2019-01-24 15:47:52,0.131s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Forgot my password_Butto""))",Chrome 71.0.3578.98,,2019-01-24 15:47:52,2019-01-24 15:47:53,0.069s,PASSED
,,,,,,
Test Cases/spolight/service choice/zlcc stage,Chrome 71.0.3578.98,,2019-01-24 15:47:53,2019-01-24 15:47:54,1.951s,PASSED
"click(findTestObject(""Page_SpotLight  Login/button_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:47:53,2019-01-24 15:47:53,0.621s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:47:53,2019-01-24 15:47:54,1.029s,PASSED
"click(findTestObject(""Services/li_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:47:54,2019-01-24 15:47:54,0.090s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_ZLCC Stage_Button__Super""))",Chrome 71.0.3578.98,,2019-01-24 15:47:54,2019-01-24 15:47:54,0.099s,PASSED
,,,,,,
Test Cases/spolight/Select Your Application/Shutter,Chrome 71.0.3578.98,,2019-01-24 15:47:54,2019-01-24 15:47:58,3.148s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - shutter/a""))",Chrome 71.0.3578.98,,2019-01-24 15:47:55,2019-01-24 15:47:56,1.867s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:47:56,2019-01-24 15:47:57,1.005s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - shutter/button_Open Application""))",Chrome 71.0.3578.98,,2019-01-24 15:47:57,2019-01-24 15:47:58,0.143s,PASSED
,,,,,,
Test Cases/spolight/cars/Audi A5,Chrome 71.0.3578.98,,2019-01-24 15:47:58,2019-01-24 15:47:58,0.314s,PASSED
"click(findTestObject(""Page_SpotLight  Select Car/div_Audi a5 2018""))",Chrome 71.0.3578.98,,2019-01-24 15:47:58,2019-01-24 15:47:58,0.190s,PASSED
,,,,,,
Test Cases/spolight/Shutter-Pro Panels/Save Shots/Quick Shot,Chrome 71.0.3578.98,,2019-01-24 15:47:58,2019-01-24 15:48:09,11.272s,PASSED
"waitForElementClickable(findTestObject(""Audi A5/Animations/Page_SpotLight  Shutter/Page_SpotLight  Shutter/img_Multi Shot_ZlUiIconButton_""), 100)",Chrome 71.0.3578.98,,2019-01-24 15:47:58,2019-01-24 15:48:08,9.893s,PASSED
"click(findTestObject(""Shutter buttons/saving shots/a_Quick Shot""))",Chrome 71.0.3578.98,,2019-01-24 15:48:08,2019-01-24 15:48:08,0.137s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:48:08,2019-01-24 15:48:09,1.003s,PASSED
"click(findTestObject(""Shutter buttons/saving shots/click off shopping cart""))",Chrome 71.0.3578.98,,2019-01-24 15:48:09,2019-01-24 15:48:09,0.127s,PASSED
,,,,,,
Test Cases/spolight/Shutter-Pro Panels/view content/content,Chrome 71.0.3578.98,,2019-01-24 15:48:09,2019-01-24 15:49:10,1m - 0.854s,FAILED
delay(60),Chrome 71.0.3578.98,,2019-01-24 15:48:09,2019-01-24 15:49:09,1m - 0.003s,PASSED
"waitForElementClickable(findTestObject(""manageSettings/Page_SpotLight  Shutter/li_ShutterSingle Shot024808 pm""), 0)",Chrome 71.0.3578.98,,2019-01-24 15:49:09,2019-01-24 15:49:09,0.059s,PASSED
"click(findTestObject(""manageSettings/Page_SpotLight  Shutter/li_ShutterSingle Shot024808 pm""))",Chrome 71.0.3578.98,,2019-01-24 15:49:09,2019-01-24 15:49:10,0.647s,FAILED
