Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
video,Chrome 71.0.3578.98,,2019-01-24 15:57:05,2019-01-24 15:59:12,2m - 6.830s,PASSED
,,,,,,
Test Cases/spolight/logging in/login,Chrome 71.0.3578.98,,2019-01-24 15:57:05,2019-01-24 15:57:12,6.541s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-24 15:57:05,2019-01-24 15:57:08,2.915s,PASSED
"navigateToUrl(""https://spotlightsuite.com/auth/login"")",Chrome 71.0.3578.98,,2019-01-24 15:57:08,2019-01-24 15:57:09,1.135s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-24 15:57:09,2019-01-24 15:57:11,1.148s,PASSED
waitForPageLoad(0),Chrome 71.0.3578.98,,2019-01-24 15:57:11,2019-01-24 15:57:11,0.041s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""))",Chrome 71.0.3578.98,,2019-01-24 15:57:11,2019-01-24 15:57:11,0.107s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""), findTestData(""login spotlight"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-24 15:57:11,2019-01-24 15:57:11,0.671s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""))",Chrome 71.0.3578.98,,2019-01-24 15:57:11,2019-01-24 15:57:12,0.074s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""), findTestData(""login spotlight"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-24 15:57:12,2019-01-24 15:57:12,0.135s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Forgot my password_Butto""))",Chrome 71.0.3578.98,,2019-01-24 15:57:12,2019-01-24 15:57:12,0.091s,PASSED
,,,,,,
Test Cases/spolight/service choice/zlcc stage,Chrome 71.0.3578.98,,2019-01-24 15:57:12,2019-01-24 15:57:14,1.942s,PASSED
"click(findTestObject(""Page_SpotLight  Login/button_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:57:12,2019-01-24 15:57:12,0.624s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:57:12,2019-01-24 15:57:14,1.025s,PASSED
"click(findTestObject(""Services/li_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:57:14,2019-01-24 15:57:14,0.083s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_ZLCC Stage_Button__Super""))",Chrome 71.0.3578.98,,2019-01-24 15:57:14,2019-01-24 15:57:14,0.089s,PASSED
,,,,,,
Test Cases/spolight/Select Your Application/Bespoke - Video,Chrome 71.0.3578.98,,2019-01-24 15:57:14,2019-01-24 15:57:16,2.574s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - bespoke video/a""))",Chrome 71.0.3578.98,,2019-01-24 15:57:14,2019-01-24 15:57:15,1.235s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:57:15,2019-01-24 15:57:16,1.002s,PASSED
